"y","x"
514,1014
510,1015
507,1016
502,1017
497,1018
493,1018
489,1018
484,1018
478,1019
472,1019
467,1019
463,1019
461,1019
454,1019
451,1019
449,1019
445,1019
443,1019
438,1019
436,1019
433,1019
428,1018
425,1018
420,1017
416,1016
412,1016
408,1016
403,1016
399,1015
397,1014
389,1014
385,1012
383,1011
374,1011
368,1010
365,1009
359,1008
353,1006
344,1004
337,1003
330,1001
327,1000
320,1000
314,998
307,996
302,994
297,993
293,990
289,989
284,987
283,986
279,984
274,981
268,977
263,973
257,969
254,968
250,964
244,959
241,956
238,952
232,947
230,944
227,941
224,938
222,934
219,930
217,925
214,922
212,917
209,913
206,908
204,904
202,899
200,896
198,891
194,883
194,880
189,870
188,868
185,861
184,858
181,854
178,843
176,840
175,833
172,827
171,822
169,816
168,810
167,804
166,798
165,795
165,789
164,786
163,778
163,770
163,766
163,758
163,751
163,745
164,732
165,727
166,716
167,707
168,700
168,694
170,687
171,680
172,673
173,668
174,665
176,661
177,660
179,656
180,653
181,649
182,647
184,642
186,637
189,632
189,631
190,629
192,628
194,626
195,624
198,620
199,619
200,616
202,613
204,611
205,609
208,605
210,600
213,596
216,594
218,590
222,586
224,584
228,580
229,578
233,575
236,572
241,567
243,564
247,561
251,558
255,554
258,552
262,549
265,546
269,543
273,540
276,538
278,537
284,533
288,530
293,527
295,525
298,524
304,522
306,521
313,518
314,517
319,517
323,515
331,514
335,512
337,512
342,511
348,510
353,508
358,508
363,507
371,505
377,502
385,500
392,498
399,495
405,493
411,491
419,489
422,488
430,487
436,486
439,486
444,486
450,487
455,487
460,487
465,489
470,491
476,493
482,495
489,498
495,501
497,502
507,507
514,510
517,513
530,518
537,522
541,523
551,528
557,533
564,537
569,540
582,546
586,548
592,551
599,554
606,558
611,562
617,565
621,568
627,572
631,577
633,579
637,586
640,590
644,596
646,598
652,608
655,615
656,618
661,627
663,629
667,637
667,640
671,646
674,655
674,657
676,661
678,666
679,669
681,673
682,677
684,682
685,686
685,691
686,693
687,701
687,706
688,710
688,712
688,721
688,727
688,731
688,742
688,751
688,754
688,763
688,765
688,771
688,779
688,786
688,793
687,800
687,806
686,812
685,818
683,826
683,833
681,838
680,843
679,844
675,852
674,854
670,862
668,865
664,873
663,874
660,879
658,880
655,884
652,887
650,891
647,895
645,899
643,903
640,906
636,909
633,913
629,918
628,921
622,931
619,935
615,941
613,943
610,946
606,949
599,955
597,957
591,962
587,965
584,966
576,973
574,975
570,979
565,981
561,983
556,985
552,988
546,992
541,995
536,998
531,1000
526,1002
519,1005
516,1006
508,1008
503,1009
498,1009
496,1010
491,1011
485,1012
479,1012
474,1013
468,1014
461,1015
455,1015
448,1016
443,1016
437,1017
430,1017
424,1018
418,1018
411,1018
404,1019
398,1020
392,1021
386,1021
383,1021
374,1021
372,1021
363,1021
361,1021
353,1020
350,1020
344,1019
339,1018
333,1016
327,1015
322,1012
315,1010
310,1008
304,1005
299,1001
293,998
287,995
284,993
276,988
270,984
266,980
264,979
259,976
254,973
250,970
249,968
246,966
241,960
239,958
236,954
232,949
227,945
223,941
219,935
215,931
211,924
207,918
203,914
201,909
198,906
196,901
194,898
193,895
191,892
190,889
189,888
189,884
188,881
187,877
186,872
186,867
184,861
183,856
182,850
182,844
181,841
180,834
180,830
179,825
179,821
179,818
178,814
178,810
178,808
176,800
176,797
175,789
174,779
173,775
172,770
171,764
171,758
171,752
171,742
171,734
171,727
171,722
171,720
171,719
172,713
173,711
173,706
176,699
179,692
180,690
183,682
184,677
185,674
188,669
189,666
191,663
195,655
197,652
199,646
202,638
205,630
208,625
210,621
213,618
213,617
216,612
217,611
220,606
221,603
225,596
228,592
230,589
232,587
233,587
236,583
241,577
243,575
248,569
253,563
256,559
262,556
266,553
271,550
278,544
284,539
287,536
297,529
304,524
311,520
318,516
323,513
326,512
331,510
336,508
341,506
347,504
352,501
358,498
360,496
367,493
373,490
380,487
386,486
394,483
401,482
409,479
415,478
421,477
424,477
432,477
437,478
440,478
448,479
454,481
456,481
466,484
470,485
479,488
482,489
493,492
496,493
503,496
509,497
516,499
524,500
530,501
537,504
543,506
549,510
556,513
561,515
567,518
573,521
575,522
580,526
587,533
593,538
596,541
602,547
604,550
608,555
612,560
617,566
622,570
625,575
628,579
631,583
633,587
635,591
638,595
642,599
646,604
649,609
652,615
654,617
657,625
658,627
662,633
662,636
667,642
668,645
671,650
674,657
675,660
677,665
679,669
681,675
683,679
684,684
686,691
687,696
689,701
690,706
691,712
692,715
693,723
694,728
694,732
694,736
694,744
694,747
694,752
694,758
694,761
694,768
693,776
692,786
691,796
690,806
689,816
687,823
686,829
684,835
682,841
680,844
676,854
674,860
672,865
671,867
669,870
668,872
667,874
666,876
664,877
661,881
657,887
653,894
651,895
649,898
647,901
645,904
643,907
642,909
637,915
636,916
631,921
628,927
624,932
621,936
618,938
612,942
610,944
603,950
597,956
595,958
590,962
586,965
581,967
577,969
571,972
566,975
561,979
556,981
552,983
549,984
542,987
539,988
533,991
525,995
519,997
515,1000
511,1001
505,1003
503,1003
497,1006
495,1006
490,1008
484,1011
482,1011
